,,,,,,
Iris ,"0,252","4,348","642,857","0,19","5,929","624,111"
Wine ,"0,502","5,698","846,46","0,201","10,256","827,361"
Soybean ,"0,469",0,"216,561","0,263",0,"198,41"
Pima ,"0,585","18,216","5668,027","0,832","7,076","5610,269"
Balance ,"0,784","8,602","3619,93","0,239","26,287","3582,478"
Boston ,"0,003","0,509","2133,466","0,002","0,561","2089,043"
Diabetes ,"0,002","0,294","1752,542","0,002","0,362","1787,907"
Breast_Cancer ,"0,785","9,767","4927,519","0,897","3,899","4808,527"
Bupa ,"0,904","3,356","1860,635","0,988","0,302","1834,788"
Ecoli ,"0,02","24,353","1533,095","0,036","18,784","1392,172"
Haberman ,"0,901","4,01","1538,324","0,986","0,435","1499,845"
Led7Digit ,"0,006","12,829","2413,812","0,008","10,973","2407,244"
Monk2 ,"0,774","9,856","2467,884","0,923","2,909","2430,081"
Newthyroid ,"0,549","6,913","1003,973","0,096","17,045","952,573"
Vehicle ,"0,075","29,153","6118,556","0,022","26,765","6009,456"
Zoo ,"0,144","4,167","428,113","0,126","2,917","401,031"
Sonar ,"0,754","6,048","1425,522","0,763","5,242","1358,502"
Heart ,"0,799","6,89","1496,231","0,985","0,427","1469,086"
Ionosphere ,"0,831","6,386","2524,031","0,977","0,581","2465,058"
Wdbc ,"0,8","8,892","4857,863","0,948","2,052","4726,06"
Vowel ,"0,003","14,443","6153,069","0,001","13,405","6239,692"
Movement_Libras ,"0,003","8,665","2002,049",0,"8,805","2013,372"
Appendicitis ,"0,555","4,167","488,65","0,471","4,583","459,85"
Saheart ,"0,7","12,981","2893,298","0,983","0,497","2849,385"
Spectfheart ,"0,893","3,78","1969,135","0,828","4,329","1866,4"
Hayesroth ,"0,029","8,152","694,822","0,098","8,514","659,178"
Tae ,"0,124","7,51","664,738","0,089","8,103","669,225"
Glass ,"0,009","16,951","951,584","0,058","10,89","910,5"
Rand ,"0,338","7,312","629,85","0,193","7,115","614,596"
Spiral ,"0,806","7,677","1438,769","0,987","0,303","1407,027"
Moons ,"0,954","1,465","1436,527","0,993",0,"1408,853"
Circles ,"0,781","7,374","1439,668","0,993","0,101","1398,399"
,"0,4729375","8,461375","2132,42375","0,4743125","6,54521875","2092,82746875"
